course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Lewis,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7a0a2af3e410e112bf9de805337d95874c27341b5445e2f5053d952af958c58c9549a839ccebc274f7760f73d58e1223&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Lewis),222670,18,24,4.53,5.0,5,0.6105966613307698,4.81,5.0,5,0.5199067515459194,4.69,3.5,3.0,3.3,4.63,5.0,5,0.72
AAAS 112,"Black Art and the Refounding of America: Art, Race, and U.S. Law 001",Mayo,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d677bffd2ced323346de4ea71de9730debfd7328e2678d628dc6b6aeafb06c5051167b0f72f47dd7fe21380cbc3f1f5b&ReportType=2&regl=en-US,FAS-222670-2238-1-1-001,FAS-222670-2238-1-1-001(Mayo),222670,18,24,4.53,5.0,5,0.6105966613307698,5.0,5.0,5,0.0,4.69,3.5,3.0,3.3,4.63,5.0,5,0.72
AAAS 124,Tobacco and Sugar 001,Sommer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b4a112c2e02f3f2349f1195b9d84a819d00bda3881170e4ca70108eef19921b479b766c9f5f4339181876b7f1e52a389&ReportType=2&regl=en-US,FAS-108849-2238-1-1-001,FAS-108849-2238-1-1-001(Sommer),108849,6,9,3.5,3.5,3,1.3962069830057215,3.67,4.0,4,1.3880805728658825,8.5,9.0,10.0,2.66,3.17,3.0,3,1.33
AFRAMER 11,Introduction to African Studies 001,Agbiboa,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f8d732981bbbb5526df4e410f8acb552611875e47865190d9e1f7290e030c6948c983f21379ae6914427b9a9e391e0c3&ReportType=2&regl=en-US,FAS-123591-2238-1-1-001,FAS-123591-2238-1-1-001(Agbiboa),123591,22,22,4.1,4.0,4,0.7533762390570581,4.5,5.0,5,0.7848952835000387,3.05,3.0,3.0,1.64,4.2,4.0,4,0.77
AFRAMER 111X,"Africa in the Twentieth Century: Culture, Representation, and New Diasporas SEM",Ogene,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=83c193a7136773b57d8178f3c9adb61d6951dbed50969e7e67029e3f3af5535afaa4060c514ee78f889d3327ddf0bea6&ReportType=2&regl=en-US,FAS-222142-2238-1-1-SEM,FAS-222142-2238-1-1-SEM(Ogene),222142,5,6,5.0,5.0,5,0.0,5.0,5.0,5,0.0,4.0,4.0,5.0,1.0,5.0,5.0,5,0.0
AFRAMER 120X,African American Theatre SEM,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7b97ab23f40cf6091aa63bcb130b04a56633f604979f11083a409a24ecddb7e6484904ed0cd62aa26c35e265eed798fa&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Bernstein),108167,7,12,4.83,5.0,5,0.3775251680686369,5.0,5.0,5,0.0,5.17,4.0,4.0,2.56,4.71,5.0,5,0.49
AFRAMER 120X,African American Theatre SEM,Carpio,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f53475d7ddf337480a9a878e5427f4761fcbee07dfeb64ee602c2cd0ee87c7117415b8fd998d45c8ba3bd75afbfb8ae&ReportType=2&regl=en-US,FAS-108167-2238-1-1-SEM,FAS-108167-2238-1-1-SEM(Carpio),108167,7,12,4.83,5.0,5,0.3775251680686369,5.0,5.0,5,0.0,5.17,4.0,4.0,2.56,4.71,5.0,5,0.49
AFRAMER 135Y,Black Feminist Theory Seminar 001,Perry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a8b17b05ac35fa7d98c8c811c856d4fc278fa62e56dacc1360ae9a5ffd0500c7a6483956036429fd8f1e53df8afb71e2&ReportType=2&regl=en-US,FAS-222230-2238-1-1-001,FAS-222230-2238-1-1-001(Perry),222230,21,32,4.15,4.0,5,0.967919772950572,4.68,5.0,5,0.6649648244995987,3.06,3.0,3.0,1.34,4.25,4.5,5,0.97
AFRAMER 146X,A Black History of Electronic Dance Music 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d00e4523165e9ea2520e4f03365074abecf8d6d0f26b48e82e78aaaceae5ea292ed6cb7f1a42bb1772b96a227d5e146&ReportType=2&regl=en-US,FAS-222657-2238-1-1-001,FAS-222657-2238-1-1-001(aumoithe),222657,9,12,4.86,5.0,5,0.348735088019777,5.0,5.0,5,0.0,8.86,8.0,10.0,1.86,4.86,5.0,5,0.38
AFRAMER 184X,Jim Crow: Histories and Revivals 001,Eatmon,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4d90484beed4bbd9a1679a51c5ef972240a5c86b4f1ac97324c676ab09b567d7446655106440411e0562cc481df0e4f8&ReportType=2&regl=en-US,FAS-220490-2238-1-1-001,FAS-220490-2238-1-1-001(Eatmon),220490,10,14,4.33,4.0,4,0.6700593942604899,4.67,5.0,5,0.47258156262526085,9.63,6.5,6.0,8.4,4.0,4.0,4,0.71
